filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC08859-20191130,10,33,male,0,0,0,0,0,0.999,0.001,0,35.66093535,139.7007362,94,35,“y,2019/11/30,2,0,1,10.082,1
DSC08859-20191130,14,20,male,0.001,0.001,0,0,0.004,0.988,0.003,0.003,35.66093535,139.7007362,61,35,“y,2019/11/30,2,0,1,15.517,1
DSC08860-20191130,5,24,male,0,0,0,0,0,0.993,0.005,0.001,35.66082639,139.7009025,265,35,“y,2019/11/30,2,0,1,3.599,1
DSC08860-20191130,7,38,male,0.001,0,0,0,0,0.972,0.026,0,35.66082639,139.7009025,168,35,“y,2019/11/30,2,0,1,5.657,1
DSC08860-20191130,9,21,male,0,0,0,0,0.007,0.981,0.011,0,35.66082639,139.7009025,115,35,“y,2019/11/30,2,0,1,8.247,1
DSC08860-20191130,11,66,male,0,0,0,0,0,0.996,0.004,0,35.66082639,139.7009025,98,35,“y,2019/11/30,2,0,1,9.672,1
DSC08860-20191130,12,25,male,0.001,0,0,0,0,0.993,0.006,0,35.66082639,139.7009025,61,35,“y,2019/11/30,2,0,1,15.517,1
DSC08861-20191130,1,29,male,0,0,0,0,0.009,0.974,0.002,0.014,35.6610418,139.7006364,207,35,“y,2019/11/30,2,0,1,4.597,1
DSC08861-20191130,3,16,male,0,0,0,0,0,0.998,0.002,0,35.6610418,139.7006364,145,35,“y,2019/11/30,2,0,1,6.548,1
DSC08861-20191130,4,19,male,0.001,0.001,0.003,0.008,0.004,0.52,0.012,0.45,35.6610418,139.7006364,134,35,“y,2019/11/30,2,0,1,7.083,1
DSC08861-20191130,6,18,male,0.001,0.002,0.005,0,0.393,0.597,0.001,0,35.6610418,139.7006364,125,35,“y,2019/11/30,2,0,1,7.59,1
DSC08862-20191130,1,29,male,0.012,0.004,0.022,0.001,0.014,0.404,0.542,0.001,35.6612504,139.7003009,752,35,“y,2019/11/30,2,0,1,1.291,1
DSC08862-20191130,4,35,male,0.007,0.013,0.045,0,0.082,0.837,0.016,0,35.6612504,139.7003009,193,35,“y,2019/11/30,2,0,1,4.928,1
DSC08862-20191130,5,44,male,0,0,0,0,0.003,0.995,0.002,0,35.6612504,139.7003009,185,35,“y,2019/11/30,2,0,1,5.14,1
DSC08862-20191130,7,34,male,0,0,0,0,0,0.999,0,0,35.6612504,139.7003009,84,35,“y,2019/11/30,2,0,1,11.278,1
DSC08863-20191130,2,28,male,0,0.001,0,0,0.543,0.45,0,0.005,35.66144041,139.7000923,197,35,“y,2019/11/30,2,1,1,4.829,1
DSC08863-20191130,3,25,male,0,0,0,0,0.975,0.024,0,0,35.66144041,139.7000923,150,35,“y,2019/11/30,2,1,1,6.331,1
DSC08863-20191130,5,24,male,0,0.001,0,0,0.61,0.39,0,0,35.66144041,139.7000923,82,35,“y,2019/11/30,2,1,1,11.552,1
DSC08863-20191130,8,23,male,0,0,0,0,0,0.99,0.01,0,35.66144041,139.7000923,62,35,“y,2019/11/30,2,0,1,15.268,1
DSC08863-20191130,9,25,male,0,0,0,0,0.33,0.667,0.002,0,35.66144041,139.7000923,57,35,“y,2019/11/30,2,0,1,16.604,1
DSC08864-20191130,4,32,male,0,0.002,0,0,0,0.995,0.003,0,35.66113357,139.7004564,199,35,“y,2019/11/30,2,0,1,4.781,1
DSC08865-20191130,1,18,male,0,0,0,0,0,0.995,0.005,0,35.66120028,139.7003599,375,35,“y,2019/11/30,2,0,1,2.553,1
DSC08865-20191130,3,24,male,0,0.001,0,0,0.716,0.274,0.008,0,35.66120028,139.7003599,210,35,“y,2019/11/30,2,1,1,4.532,1
DSC08865-20191130,5,20,male,0,0,0,0,0,0.985,0.015,0,35.66120028,139.7003599,168,35,“y,2019/11/30,2,0,1,5.657,1
DSC08865-20191130,6,18,male,0.001,0,0,0.03,0,0.641,0.003,0.325,35.66120028,139.7003599,130,35,“y,2019/11/30,2,0,1,7.3,1
DSC08865-20191130,7,35,male,0.001,0.001,0,0,0,0.997,0.001,0,35.66120028,139.7003599,124,35,“y,2019/11/30,2,0,1,7.651,1
DSC08865-20191130,8,27,male,0,0,0,0,0,1,0,0,35.66120028,139.7003599,61,35,“y,2019/11/30,2,0,1,15.517,1
DSC08866-20191130,2,24,male,0.001,0,0,0.16,0,0.538,0.012,0.289,35.66151297,139.6999251,375,35,“y,2019/11/30,2,0,1,2.553,1
DSC08867-20191130,3,19,male,0,0,0,0,1,0,0,0,35.66153785,139.6999394,192,35,“y,2019/11/30,2,1,1,4.954,1
DSC08867-20191130,4,17,male,0.001,0,0,0,0,0.831,0.001,0.166,35.66153785,139.6999394,97,35,“y,2019/11/30,2,0,1,9.771,1
DSC08869-20191130,1,22,male,0,0,0,0,0,1,0,0,35.66171679,139.6997202,439,35,“y,2019/11/30,2,0,1,2.186,1
