filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06652-1221,1,30,male,0,0,0,0,0,0.995,0.004,0,35.67129556,139.7045728,408,35,ìy,2019/12/21,2,1,0,161.9,2.349746732,2
DSD06652-1221,2,19,female,0,0,0,0.001,0,0.981,0.002,0.016,35.67129556,139.7045728,282,35,ìy,2019/12/21,2,0,0,153.8,3.21644208,2
DSD06652-1221,3,26,male,0,0.003,0,0,0.889,0.106,0,0,35.67129556,139.7045728,72,35,ìy,2019/12/21,2,1,1,161.9,13.15189815,2
DSD06652-1221,4,18,female,0,0,0,0,0,0.993,0.007,0,35.67129556,139.7045728,67,35,ìy,2019/12/21,2,0,0,153.8,13.42554726,2
DSD06653-1221,1,23,female,0,0,0,0,0,0.942,0.057,0,35.67125723,139.7046303,551,35,ìy,2019/12/21,2,0,0,153.8,1.663251664,2
DSD06653-1221,2,18,male,0,0,0,0,0,0.999,0.001,0,35.67125723,139.7046303,345,35,ìy,2019/12/21,2,1,0,161.9,2.772439614,2
DSD06653-1221,3,18,female,0,0,0,0,0,0.988,0.011,0,35.67125723,139.7046303,338,35,ìy,2019/12/21,2,0,0,153.8,2.68933925,2
DSD06653-1221,4,25,male,0.002,0.053,0.037,0,0.005,0.891,0.009,0.003,35.67125723,139.7046303,124,35,ìy,2019/12/21,2,1,0,161.9,7.651263441,2
DSD06654-1221,1,19,male,0.002,0,0,0.001,0,0.984,0.004,0.01,35.67124861,139.7047053,606,35,ìy,2019/12/21,2,1,0,161.9,1.593443344,2
DSD06654-1221,2,17,male,0,0.022,0,0,0,0.976,0.001,0.001,35.67124861,139.7047053,481,35,ìy,2019/12/21,2,1,0,161.9,1.998444213,2
DSD06654-1221,3,24,female,0,0,0,0,0.055,0.941,0.003,0,35.67124861,139.7047053,481,35,ìy,2019/12/21,2,0,0,153.8,1.900211365,2
DSD06654-1221,4,24,female,0.001,0.002,0,0,0.049,0.943,0.005,0,35.67124861,139.7047053,376,35,ìy,2019/12/21,2,0,0,153.8,2.42108156,2
